UUID,mainThumbURL,imageLicense,dataSource,wikidataQID
82cde112-46c1-5603-8a0f-f9c3f7e117ba,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Petroglyphic_Complexes_of_the_Altai%2C_Mongolia.jpg/330px-Petroglyphic_Complexes_of_the_Altai%2C_Mongolia.jpg,,wikipedia-es,
a3c25b9f-03e7-51ff-adfc-a7ebb6e526fb,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Dauria_t%C3%A1jai_t%C3%A9rk%C3%A9p.png/330px-Dauria_t%C3%A1jai_t%C3%A9rk%C3%A9p.png,,wikipedia-en,Q64787456
1f4bfdf6-dd3a-5b5e-a3b1-ccf0bbde7550,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2Facb5916c862ff5c7ea71de0ddbb25ef4,,proxy-csv,
6c0f57ec-3229-59e4-9154-6d74c94957c9,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vegavista.jpg/330px-Vegavista.jpg,,wikipedia-en,
cf28481b-eb98-5bf4-b2e9-4304263c79d4,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2Fb53f0d3c7d34846bcf32e966d8ea4dfe,,proxy-csv,
698792ba-14e3-59ef-a59e-0b48eab8ba58,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F691c18f53703cce488d8bd3a9c7a2401,,proxy-csv,
a0662165-279a-54b1-8654-7eb8f8b3845b,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/0089_-_Moskau_2015_-_Neues_Jungfrauenkloster_%2826331713951%29.jpg/330px-0089_-_Moskau_2015_-_Neues_Jungfrauenkloster_%2826331713951%29.jpg,CC BY-SA 2.0,commons-category,Q270725
e381540f-9349-54cf-8998-ef85cc4a5d51,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Africa%2C_australopitecines_discovery_sites.png/330px-Africa%2C_australopitecines_discovery_sites.png,,wikipedia-fr,
a9219380-9021-52eb-a734-b25c6bdc8925,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mapungubwe_hill_limpopo.jpg/330px-Mapungubwe_hill_limpopo.jpg,,wikipedia-fr,
afa30144-9e1f-51c0-bb7c-183041c5ddcb,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Side_view_of_the_skull_of_Old_man_of_Cros-Magnon._Wellcome_M0001124.jpg/330px-Side_view_of_the_skull_of_Old_man_of_Cros-Magnon._Wellcome_M0001124.jpg,,wikipedia-fr,
